CountyName,DEM_12_raw,OTHER_12_raw,REP_12_raw,NET_DEM_12_raw,WINNER_12_raw,DEM_12_pct,OTHER_12_pct,REP_12_pct,NET_DEM_12_pct,WINNER_12_pct,DEM_16_raw,OTHER_16_raw,REP_16_raw,NET_DEM_16_raw,WINNER_16_raw,DEM_16_pct,OTHER_16_pct,REP_16_pct,NET_DEM_16_pct,WINNER_16_pct,DEM_18_raw,OTHER_18_raw,REP_18_raw,NET_DEM_18_raw,WINNER_18_raw,DEM_18_pct,OTHER_18_pct,REP_18_pct,NET_DEM_18_pct,WINNER_18_pct,COUNTY_CAT,TREND_16_18,TREND_12_18,TREND_12_16,COUNTY_TREND_CAT,Region,FIPS,Reg_16_Total,Reg_16_Rep,Reg_16_Dem,Reg_16_NPA_Other,Reg_18_Total,Reg_18_Rep,Reg_18_Dem,Reg_18_NPA_Other,Reg_20_Total,Reg_20_Rep,Reg_20_Dem,Reg_20_NPA_Other,Total_Vote_16,Total_Vote_18,Turnout_16,Turnout_18,Expected_2020_Vote,DEM_20_raw,OTHER_20_raw,REP_20_raw,NET_DEM_20_raw,WINNER_20_raw,DEM_20_pct,OTHER_20_pct,REP_20_pct,NET_DEM_20_pct,WINNER_20_pct,Total_Vote_20,Turnout_20,Expected_20_Vote_Remaining,Proj_Dem_Vote_Remaining,Proj_Rep_Vote_Remaining,Proj_Other_Vote_Remaining,Proj_Dem_Vote_Total,Proj_Rep_Vote_Total,Proj_Other_Vote_Total,Proj_Dem_Margin,Proj_Winner,County
Collier,51698,894,96520,-44822,2,0.35,0.01,0.65,-0.30000000000000004,2,61085,4281,105423,-44338,2,0.36,0.03,0.62,-0.26,2,54390,6,101266,-46876,2,0.35,0.0,0.65,-0.30000000000000004,2,SOLID RED,-0.04,0.0,0.04,R2B,Southwest,12021,200707,102287,47514,50906,213664,108242,50857,54565,215202,109825,53298,52079,170789,155662,0.851,0.729,183137.0,34068.96,1805.9999999999998,51251.41,-17182.450000000004,2,0.391,0.0207,0.5882,-0.19719999999999993,2,87126.37,0.405,96010.63,37540.156330000005,56473.452566,1987.420041,71609.11633,107724.862566,3793.420041,-36116.0,Trump,Collier
Columbia,8462,272,18429,-9967,2,0.31,0.01,0.68,-0.37000000000000005,2,7601,738,20368,-12767,2,0.26,0.03,0.71,-0.44999999999999996,2,7505,6,17234,-9729,2,0.3,0.0,0.7,-0.39999999999999997,2,SOLID RED,0.05,-0.03,-0.08,R2R,North Central,12023,37385,16311,14430,6644,40375,18648,14290,7437,42381,20828,13696,7857,28707,24745,0.768,0.613,32549.0,4313.81,351.94,9822.17,-5508.36,2,0.2978,0.0243,0.678,-0.38020000000000004,2,14487.92,0.342,18061.08,5378.589624000001,12245.412240000001,438.884244,9692.399624000001,22067.582240000003,790.824244,-12375.0,Trump,Columbia
Desoto,4174,104,5587,-1413,2,0.42,0.01,0.57,-0.14999999999999997,2,3781,259,6778,-2997,2,0.35,0.02,0.63,-0.28,2,3328,0,5503,-2175,2,0.38,0.0,0.62,-0.24,2,SOLID RED,0.04,-0.09,-0.13,R2R,West Central,12027,15884,5072,7492,3320,16735,5677,7176,3882,16981,6377,6569,4035,10818,8831,0.681,0.528,11564.0,2103.04,116.53,3192.53,-1089.4900000000002,2,0.3886,0.0215,0.5899,-0.20129999999999998,2,5412.099999999999,0.319,6151.900000000001,2390.62834,3629.00581,132.26585,4493.66834,6821.53581,248.79585,-2328.0,Trump,Desoto
Dixie,1798,91,5052,-3254,2,0.26,0.01,0.73,-0.47,2,1270,110,5822,-4552,2,0.18,0.02,0.81,-0.6300000000000001,2,1322,0,4442,-3120,2,0.23,0.0,0.77,-0.54,2,SOLID RED,0.09,-0.07,-0.16,R2R,North Central,12029,9923,3630,4753,1540,9670,3984,4104,1582,10065,4904,3434,1727,7202,5764,0.726,0.596,7307.0,677.64,44.28,2570.73,-1893.0900000000001,2,0.2058,0.0134,0.7807,-0.5749,2,3292.65,0.327,4014.35,826.15323,3134.003045,53.79229,1503.79323,5704.733045,98.07229000000001,-4201.0,Trump,Dixie
Duval,196737,3496,211615,-14878,2,0.48,0.01,0.51,-0.030000000000000027,2,205704,15319,211672,-5968,2,0.48,0.04,0.49,-0.010000000000000009,2,192381,45,185904,6477,1,0.51,0.0,0.49,0.020000000000000018,1,SWING,0.03,0.05,0.02,R2B,Northeast,12031,588121,220742,240293,127086,607386,221572,247865,137949,634439,225886,265392,143161,432695,378330,0.736,0.623,466947.0,119350.31,6841.95,97862.54,21487.770000000004,1,0.5327,0.0305,0.4368,0.09589999999999993,1,224054.8,0.353,242892.2,129388.67494,106095.31296000001,7408.212100000001,248738.98494,203957.85296,14250.162100000001,44781.0,Biden,Duval
Escambia,58185,1606,88711,-30526,2,0.39,0.01,0.6,-0.20999999999999996,2,57461,6200,88808,-31347,2,0.38,0.04,0.58,-0.19999999999999996,2,52891,17,75947,-23056,2,0.41,0.0,0.59,-0.18,2,SOLID RED,0.02,0.03,0.01,R2B,Northwest,12033,210039,94169,72637,43233,212987,95644,71984,45359,223467,99272,75535,48660,152469,128855,0.726,0.605,162237.0,30031.55,2134.9,41607.79,-11576.240000000002,2,0.4071,0.0289,0.564,-0.15689999999999993,2,73774.23999999999,0.33,88462.76000000001,36013.189596000004,49892.99664,2556.573764,66044.739596,91500.78664,4691.473764,-25456.0,Trump,Escambia
Flagler,23207,419,26969,-3762,2,0.46,0.01,0.53,-0.07,2,22026,1627,33850,-11824,2,0.38,0.03,0.59,-0.20999999999999996,2,21419,11,31467,-10048,2,0.4,0.0,0.59,-0.18999999999999995,2,SOLID RED,0.02,-0.12,-0.14,R2R,East Central,12035,79281,31456,25274,22551,82611,33988,25580,23043,88339,38006,27496,22837,57503,52897,0.725,0.64,64046.0,11611.56,708.59,14365.82,-2754.26,2,0.4351,0.0266,0.5383,-0.10320000000000001,2,26685.969999999998,0.302,37360.03,16255.349052999998,20110.904148999998,993.7767979999999,27866.909052999996,34476.724149,1702.366798,-6610.0,Trump,Flagler
Franklin,1845,59,3570,-1725,2,0.34,0.01,0.65,-0.31,2,1744,146,4125,-2381,2,0.29,0.02,0.69,-0.39999999999999997,2,2011,0,3404,-1393,2,0.37,0.0,0.63,-0.26,2,SOLID RED,0.14,0.05,-0.09,R2R,Northwest,12037,7229,2221,4105,903,7783,2654,4010,1119,8220,3215,3739,1266,6015,5415,0.832,0.696,6839.0,942.66,47.17000000000001,2047.2,-1104.54,2,0.3104,0.0155,0.6741,-0.3637,2,3037.03,0.369,3801.97,1180.131488,2562.907977,58.930535,2122.791488,4610.107977,106.10053500000001,-2487.0,Trump,Franklin
Gadsden,15770,99,6630,9140,1,0.7,0.0,0.29,0.41,1,15020,365,6728,8292,1,0.68,0.02,0.3,0.38000000000000006,1,13945,1,6051,7894,1,0.7,0.0,0.3,0.39999999999999997,1,SOLID BLUE,0.02,-0.01,-0.03,B2R,North Central,12039,29584,4477,22468,2639,29450,4756,21758,2936,30679,5128,22253,3298,22113,19997,0.747,0.679,22917.0,8204.63,132.25,3166.75,5037.879999999999,1,0.7132,0.0115,0.2753,0.43789999999999996,1,11503.63,0.375,11413.37,8140.015484,3142.100761,131.253755,16344.645483999999,6308.850761,263.503755,10036.0,Biden,Gadsden
Gilchrist,1885,107,5917,-4032,2,0.24,0.01,0.75,-0.51,2,1458,222,6740,-5282,2,0.17,0.03,0.8,-0.63,2,1633,0,5703,-4070,2,0.22,0.0,0.78,-0.56,2,SOLID RED,0.07,-0.05,-0.12,R2R,North Central,12041,11423,6118,3561,1744,11751,6576,3298,1877,12067,7182,2894,1991,8420,7336,0.737,0.624,8893.0,827.68,88.02,3247.71,-2420.03,2,0.1988,0.0211,0.7801,-0.5813,2,4163.41,0.345,4729.59,940.2424920000001,3689.553159,99.79434900000001,1767.9224920000001,6937.263159,187.814349,-5169.0,Trump,Gilchrist
