County,DEM_12_raw,OTHER_12_raw,REP_12_raw,NET_DEM_12_raw,WINNER_12_raw,DEM_12_pct,OTHER_12_pct,REP_12_pct,NET_DEM_12_pct,WINNER_12_pct,DEM_16_raw,OTHER_16_raw,REP_16_raw,NET_DEM_16_raw,WINNER_16_raw,DEM_16_pct,OTHER_16_pct,REP_16_pct,NET_DEM_16_pct,WINNER_16_pct,COUNTY_CAT,TREND_12_16,Region,FIPS,Reg_16_Total,Reg_16_Rep,Reg_16_Dem,Reg_16_Other,Reg_20_Total,Reg_20_Rep,Reg_20_Dem,Reg_20_Other,Total_Vote_16,Turnout_16,Expected_2020_Vote
COLUMBIA,10937.0,450.0,14236.0,-3299.0,2,0.43,0.02,0.56,-0.13000000000000006,2,8934.0,1290.0,18004.0,-9070.0,2,0.32,0.05,0.64,-0.32,2,SOLID RED,-0.19,Central,42037,38035,18639,13653,5743,40868,18419,16135,6314,28228.0,0.742,30324.0
CRAWFORD,13883.0,604.0,20901.0,-7018.0,2,0.39,0.02,0.59,-0.19999999999999996,2,10971.0,1534.0,24987.0,-14016.0,2,0.29,0.04,0.67,-0.38000000000000006,2,SOLID RED,-0.18,West,42039,53613,28726,18343,6544,53386,27642,19419,6325,37492.0,0.699,37317.0
CUMBERLAND,44367.0,1638.0,64809.0,-20442.0,2,0.4,0.01,0.58,-0.17999999999999994,2,47085.0,5456.0,69076.0,-21991.0,2,0.39,0.04,0.57,-0.17999999999999994,2,SOLID RED,0.0,PA Dutch,42041,178406,88027,61602,28777,166965,85322,55715,25928,121617.0,0.682,113870.0
DAUPHIN,64965.0,1593.0,57450.0,7515.0,1,0.52,0.01,0.46,0.06,1,64706.0,5303.0,60863.0,3843.0,1,0.49,0.04,0.47,0.020000000000000018,1,SOLID BLUE,-0.04,PA Dutch,42043,187621,73761,85954,27906,190301,76863,86930,26508,130872.0,0.698,132830.0
DELAWARE,171792.0,2919.0,110853.0,60939.0,1,0.6,0.01,0.39,0.20999999999999996,1,177402.0,9565.0,110667.0,66735.0,1,0.6,0.03,0.37,0.22999999999999998,1,SOLID BLUE,0.02,Southeast,42045,404732,155579,197210,51943,412854,171598,189167,52089,297634.0,0.735,303448.0
ELK,5463.0,196.0,7579.0,-2116.0,2,0.41,0.01,0.57,-0.15999999999999998,2,3853.0,548.0,10025.0,-6172.0,2,0.27,0.04,0.69,-0.41999999999999993,2,SOLID RED,-0.26,Central,42047,19223,9314,7755,2154,20244,8467,9526,2251,14426.0,0.75,15183.0
ERIE,68036.0,1558.0,49025.0,19011.0,1,0.57,0.01,0.41,0.15999999999999998,1,58112.0,5498.0,60069.0,-1957.0,2,0.47,0.04,0.49,-0.020000000000000018,2,OBAMA-TRUMP,-0.18,West,42049,195467,70285,97678,27504,190222,67494,97597,25131,123679.0,0.633,120411.0
FAYETTE,21971.0,516.0,26018.0,-4047.0,2,0.45,0.01,0.54,-0.09000000000000002,2,17946.0,1231.0,34590.0,-16644.0,2,0.33,0.02,0.64,-0.31,2,SOLID RED,-0.22,West,42051,77316,29944,39984,7388,83852,27923,48602,7327,53767.0,0.695,58277.0
FOREST,896.0,33.0,1383.0,-487.0,2,0.39,0.01,0.6,-0.20999999999999996,2,626.0,92.0,1683.0,-1057.0,2,0.26,0.04,0.7,-0.43999999999999995,2,SOLID RED,-0.23,Central,42053,3385,1851,1166,368,3330,1750,1269,311,2401.0,0.709,2361.0
FRANKLIN,18995.0,823.0,43260.0,-24265.0,2,0.3,0.01,0.69,-0.38999999999999996,2,17465.0,2498.0,49768.0,-32303.0,2,0.25,0.04,0.71,-0.45999999999999996,2,SOLID RED,-0.07,PA Dutch,42055,94623,56722,24227,13674,93018,54576,25117,13325,69731.0,0.737,68554.0
FULTON,1310.0,71.0,4814.0,-3504.0,2,0.21,0.01,0.78,-0.5700000000000001,2,912.0,165.0,5694.0,-4782.0,2,0.13,0.02,0.84,-0.71,2,SOLID RED,-0.14,Central,42057,9124,6120,2058,946,9187,5714,2537,936,6771.0,0.742,6817.0
GREENE,5852.0,184.0,8428.0,-2576.0,2,0.4,0.01,0.58,-0.17999999999999994,2,4482.0,433.0,10849.0,-6367.0,2,0.28,0.03,0.69,-0.4099999999999999,2,SOLID RED,-0.23,West,42059,21704,9230,10350,2124,22590,8060,12474,2056,15764.0,0.726,16400.0
HUNTINGDON,5409.0,251.0,11979.0,-6570.0,2,0.31,0.01,0.68,-0.37000000000000005,2,4539.0,673.0,14494.0,-9955.0,2,0.23,0.03,0.74,-0.51,2,SOLID RED,-0.14,Central,42061,26687,16448,7520,2719,29781,17484,9214,3083,19706.0,0.738,21978.0
INDIANA,14473.0,591.0,21257.0,-6784.0,2,0.4,0.02,0.59,-0.18999999999999995,2,11528.0,1354.0,24888.0,-13360.0,2,0.31,0.04,0.66,-0.35000000000000003,2,SOLID RED,-0.16,Central,42063,49874,25085,18405,6384,51853,24193,20612,7048,37770.0,0.757,39253.0
JEFFERSON,4787.0,262.0,13048.0,-8261.0,2,0.26,0.01,0.72,-0.45999999999999996,2,3650.0,636.0,15192.0,-11542.0,2,0.19,0.03,0.78,-0.5900000000000001,2,SOLID RED,-0.13,Central,42065,30256,18219,8543,3494,29926,16971,9579,3376,19478.0,0.644,19272.0
JUNIATA,2547.0,126.0,6862.0,-4315.0,2,0.27,0.01,0.72,-0.44999999999999996,2,1821.0,360.0,8273.0,-6452.0,2,0.17,0.03,0.79,-0.62,2,SOLID RED,-0.17,Central,42067,13633,8884,3385,1364,13840,8444,3970,1426,10454.0,0.767,10615.0
LACKAWANNA,61838.0,1092.0,35085.0,26753.0,1,0.63,0.01,0.36,0.27,1,51983.0,3089.0,48384.0,3599.0,1,0.5,0.03,0.47,0.030000000000000027,1,SOLID BLUE,-0.24,Northeast,42069,142575,43497,84320,14758,148104,42553,91046,14505,103456.0,0.726,107524.0
