County,DEM_12_raw,OTHER_12_raw,REP_12_raw,NET_DEM_12_raw,WINNER_12_raw,DEM_12_pct,OTHER_12_pct,REP_12_pct,NET_DEM_12_pct,WINNER_12_pct,DEM_16_raw,OTHER_16_raw,REP_16_raw,NET_DEM_16_raw,WINNER_16_raw,DEM_16_pct,OTHER_16_pct,REP_16_pct,NET_DEM_16_pct,WINNER_16_pct,DEM_18_raw,OTHER_18_raw,REP_18_raw,NET_DEM_18_raw,WINNER_18_raw,DEM_18_pct,OTHER_18_pct,REP_18_pct,NET_DEM_18_pct,WINNER_18_pct,COUNTY_CAT,TREND_16_18,TREND_12_18,TREND_12_16,Region,FIPS,Reg_16_Total,Reg_16_Rep,Reg_16_Dem,Reg_16_NPA_Other,Reg_18_Total,Reg_18_Rep,Reg_18_Dem,Reg_18_NPA_Other,Reg_20_Total,Reg_20_Rep,Reg_20_Dem,Reg_20_NPA_Other,Total_Vote_16,Total_Vote_18,Turnout_16,Turnout_18,Expected_2020_Vote
Hardee,2463,67,4696,-2233,2,0.34,0.01,0.65,-0.31,2,2149,192,5242,-3093,2,0.28,0.03,0.69,-0.4099999999999999,2,1916,0,4455,-2539,2,0.3,0.0,0.7,-0.39999999999999997,2,SOLID RED,0.01,-0.09,-0.1,Red South,12049,11720,5011,4707,2002,12239,5436,4459,2344,12672,6032,4118,2522,7583,6371,0.647,0.521,8199.0
Hendry,4751,79,5355,-604,2,0.47,0.01,0.53,-0.06000000000000005,2,4615,305,6195,-1580,2,0.42,0.03,0.56,-0.14000000000000007,2,3542,0,5304,-1762,2,0.4,0.0,0.6,-0.19999999999999996,2,SOLID RED,-0.06,-0.14,-0.08,Red South,12051,17477,6114,8214,3149,17773,6495,7834,3444,18330,7099,7581,3650,11115,8846,0.636,0.498,11658.0
Hernando,37830,899,44938,-7108,2,0.45,0.01,0.54,-0.09000000000000002,2,31795,3031,58970,-27175,2,0.34,0.03,0.63,-0.29,2,30798,14,49501,-18703,2,0.38,0.0,0.62,-0.24,2,SOLID RED,0.05,-0.15,-0.2,North Central,12053,130639,53149,43098,34392,133853,55573,42227,36053,141946,60507,42887,38552,93796,80313,0.718,0.6,101917.0
Highlands,16148,381,25915,-9767,2,0.38,0.01,0.61,-0.22999999999999998,2,14937,1184,29565,-14628,2,0.33,0.03,0.65,-0.32,2,13398,6,26282,-12884,2,0.34,0.0,0.66,-0.32,2,SOLID RED,0.0,-0.09,-0.09,Red South,12055,61603,27977,20179,13447,59272,27461,18037,13774,63270,29578,18454,15238,45686,39686,0.742,0.67,46946.0
Hillsborough,286467,5449,250186,36281,1,0.53,0.01,0.46,0.07,1,307896,22894,266870,41026,1,0.52,0.04,0.45,0.07,1,281661,72,239641,42020,1,0.54,0.0,0.46,0.08000000000000002,1,SOLID BLUE,0.01,0.01,0.0,Central,12057,849838,267843,335920,246075,857266,270343,335009,251914,892928,278487,353332,261109,597660,521374,0.703,0.608,627728.0
Holmes,1264,91,6919,-5655,2,0.15,0.01,0.84,-0.69,2,853,178,7483,-6630,2,0.1,0.02,0.88,-0.78,2,856,0,5919,-5063,2,0.13,0.0,0.87,-0.74,2,SOLID RED,0.04,-0.05,-0.09,Panhandle,12059,11230,5952,4045,1233,10751,6285,3226,1240,11021,6954,2677,1390,8514,6775,0.758,0.63,8354.0
Indian River,27492,522,43450,-15958,2,0.38,0.01,0.61,-0.22999999999999998,2,29043,2346,48620,-19577,2,0.36,0.03,0.61,-0.25,2,29195,11,44798,-15603,2,0.39,0.0,0.61,-0.21999999999999997,2,SOLID RED,0.03,0.01,-0.02,Red South,12061,106647,49718,29172,27757,113426,52588,30943,29895,119838,55821,33230,30787,80009,74004,0.75,0.652,89878.0
Jackson,7342,181,13418,-6076,2,0.35,0.01,0.64,-0.29000000000000004,2,6397,387,14257,-7860,2,0.3,0.02,0.68,-0.38000000000000006,2,5182,1,10791,-5609,2,0.32,0.0,0.68,-0.36000000000000004,2,SOLID RED,0.02,-0.07,-0.09,Panhandle,12063,28952,10041,15830,3081,27996,10569,14363,3064,28814,12972,12615,3227,21041,15974,0.727,0.571,20948.0
Jefferson,3945,55,3808,137,1,0.51,0.01,0.49,0.020000000000000018,1,3541,174,3930,-389,2,0.46,0.02,0.51,-0.04999999999999999,2,3626,2,3699,-73,2,0.49,0.0,0.5,-0.010000000000000009,2,OBAMA-TRUMP,0.04,-0.03,-0.07,Panhandle,12065,9506,2729,5758,1019,9791,3258,5393,1140,9883,3618,5119,1146,7645,7327,0.804,0.748,7946.0
Lafayette,687,44,2668,-1981,2,0.2,0.01,0.78,-0.5800000000000001,2,518,65,2809,-2291,2,0.15,0.02,0.83,-0.6799999999999999,2,623,0,2195,-1572,2,0.22,0.0,0.78,-0.56,2,SOLID RED,0.12,0.02,-0.1,North Central,12067,4465,1504,2652,309,4356,1809,2234,313,4401,2738,1342,321,3392,2818,0.76,0.647,3345.0
