CountyName,DEM_12_raw,OTHER_12_raw,REP_12_raw,NET_DEM_12_raw,WINNER_12_raw,DEM_12_pct,OTHER_12_pct,REP_12_pct,NET_DEM_12_pct,WINNER_12_pct,DEM_16_raw,OTHER_16_raw,REP_16_raw,NET_DEM_16_raw,WINNER_16_raw,DEM_16_pct,OTHER_16_pct,REP_16_pct,NET_DEM_16_pct,WINNER_16_pct,COUNTY_CAT,TREND_12_16,Region,FIPS,Reg_16_Total,Reg_16_Rep,Reg_16_Dem,Reg_16_Other,Reg_20_Total,Reg_20_Rep,Reg_20_Dem,Reg_20_Other,Total_Vote_16,Turnout_16,Expected_2020_Vote,DEM_20_raw,OTHER_20_raw,REP_20_raw,NET_DEM_20_raw,WINNER_20_raw,DEM_20_pct,OTHER_20_pct,REP_20_pct,NET_DEM_20_pct,WINNER_20_pct,Total_Vote_20,Turnout_20,Expected_20_Vote_Remaining,Proj_Dem_Vote_Remaining,Proj_Rep_Vote_Remaining,Proj_Other_Vote_Remaining,Proj_Dem_Vote_Total,Proj_Rep_Vote_Total,Proj_Other_Vote_Total,Proj_Dem_Margin,Proj_Winner
CAMBRIA,24249.0,1114.0,35163.0,-10914.0,2,0.4,0.02,0.58,-0.17999999999999994,2,18867.0,1947.0,42258.0,-23391.0,2,0.3,0.03,0.67,-0.37000000000000005,2,SOLID RED,-0.19,Alleghenies,42021,86848,32756,45378,8714,83182,36240,38358,8584,63072.0,0.726,60390.0,13068,0,14509,-1441,2,0.47,0,0.53,-0.06000000000000005,2,27577,0.332,32813.0,15422.109999999999,17390.89,0.0,28490.11,31899.89,0.0,-3410.0,2
CAMERON,724.0,28.0,1359.0,-635.0,2,0.34,0.01,0.64,-0.3,2,531.0,66.0,1589.0,-1058.0,2,0.24,0.03,0.73,-0.49,2,SOLID RED,-0.19,North Central,42023,3232,1652,1211,369,2987,1646,954,387,2186.0,0.676,2019.0,291,0,731,-440,2,0.28,0,0.72,-0.43999999999999995,2,1022,0.342,997.0,279.16,717.8399999999999,0.0,570.1600000000001,1448.84,0.0,-879.0,2
CARBON,11580.0,497.0,13504.0,-1924.0,2,0.45,0.02,0.53,-0.08000000000000002,2,8936.0,1097.0,18743.0,-9807.0,2,0.31,0.04,0.65,-0.34,2,SOLID RED,-0.26,Poconos,42025,42228,17683,18387,6158,44339,19934,17615,6790,28776.0,0.681,30195.0,5382,0,6727,-1345,2,0.44,0,0.56,-0.12000000000000005,2,12109,0.273,18086.0,7957.84,10128.160000000002,0.0,13339.84,16855.160000000003,0.0,-3515.0,2
CENTRE,34176.0,1449.0,34001.0,175.0,1,0.49,0.02,0.49,0.0,2,37088.0,3786.0,35274.0,1814.0,1,0.49,0.05,0.46,0.02999999999999997,1,SOLID BLUE,0.03,Alleghenies,42027,123341,47653,51155,24533,109015,42843,46278,19894,76148.0,0.617,67262.0,17548,0,13638,3910,1,0.56,0,0.44,0.12000000000000005,1,31186,0.286,36076.0,20202.56,15873.44,0.0,37750.56,29511.440000000002,0.0,8239.0,1
CHESTER,124311.0,2822.0,124840.0,-529.0,2,0.49,0.01,0.5,-0.010000000000000009,2,141682.0,11004.0,116114.0,25568.0,1,0.53,0.04,0.43,0.10000000000000003,1,ROMNEY-CLINTON,0.11,Philadelphia,42029,354459,155458,136990,62011,359265,148372,149158,61735,268800.0,0.758,272323.0,71599,0,43243,28356,1,0.62,0,0.38,0.24,1,114842,0.32,157481.0,97638.22,59842.78,0.0,169237.22,103085.78,0.0,66151.0,1
CLARION,5056.0,302.0,10828.0,-5772.0,2,0.31,0.02,0.67,-0.36000000000000004,2,4273.0,686.0,12576.0,-8303.0,2,0.24,0.04,0.72,-0.48,2,SOLID RED,-0.12,North Central,42031,24090,13088,8249,2753,23239,13628,6964,2647,17535.0,0.728,16918.0,2439,0,6233,-3794,2,0.28,0,0.72,-0.43999999999999995,2,8672,0.373,8246.0,2308.88,5937.12,0.0,4747.88,12170.119999999999,0.0,-7422.0,2
CLEARFIELD,11121.0,499.0,20347.0,-9226.0,2,0.35,0.02,0.64,-0.29000000000000004,2,8200.0,1139.0,24932.0,-16732.0,2,0.24,0.03,0.73,-0.49,2,SOLID RED,-0.2,North Central,42033,53226,26296,20717,6213,46523,25548,15614,5361,34271.0,0.644,29961.0,5221,0,11399,-6178,2,0.31,0,0.69,-0.37999999999999995,2,16620,0.357,13341.0,4135.71,9205.289999999999,0.0,9356.71,20604.29,0.0,-11248.0,2
CLINTON,5734.0,228.0,7303.0,-1569.0,2,0.43,0.02,0.55,-0.12000000000000005,2,4744.0,628.0,10022.0,-5278.0,2,0.31,0.04,0.65,-0.34,2,SOLID RED,-0.22,North Central,42035,22303,10190,9157,2956,20811,10565,7598,2648,15394.0,0.69,14360.0,2737,0,4594,-1857,2,0.37,0,0.63,-0.26,2,7331,0.352,7029.0,2600.73,4428.27,0.0,5337.73,9022.27,0.0,-3685.0,2
COLUMBIA,10937.0,450.0,14236.0,-3299.0,2,0.43,0.02,0.56,-0.13000000000000006,2,8934.0,1290.0,18004.0,-9070.0,2,0.32,0.05,0.64,-0.32,2,SOLID RED,-0.19,Susquehanna Valley,42037,40868,18419,16135,6314,38035,18639,13653,5743,28228.0,0.691,26282.0,4589,0,6711,-2122,2,0.41,0,0.59,-0.18,2,11300,0.297,14982.0,6142.62,8839.38,0.0,10731.619999999999,15550.38,0.0,-4819.0,2
CRAWFORD,13883.0,604.0,20901.0,-7018.0,2,0.39,0.02,0.59,-0.19999999999999996,2,10971.0,1534.0,24987.0,-14016.0,2,0.29,0.04,0.67,-0.38000000000000006,2,SOLID RED,-0.18,Great Lakes,42039,53386,27642,19419,6325,53613,28726,18343,6544,37492.0,0.702,37636.0,5585,0,9277,-3692,2,0.38,0,0.62,-0.24,2,14862,0.277,22774.0,8654.12,14119.88,0.0,14239.12,23396.879999999997,0.0,-9158.0,2
